Job Title,Company Name,Company Location,Salary,Experience Required,Job Description,Skills and Related Content
R&D Junior Scientist,Jana Med Tech Pvt. Ltd.,"Electronic City, Bengaluru, Karnataka","₹4,00,000 - ₹6,00,000 a year",2 years,"Job detailsHere’s how the job details align with your profile.Pay₹4,00,000 - ₹6,00,000 a yearJob typeFull-timePermanentShift and scheduleDay shiftMonday to Friday&nbsp;LocationElectronic City, Bengaluru, Karnataka&nbsp;BenefitsPulled from the full job descriptionHealth insuranceProvident Fund&nbsp;Full job description
Thinking and market understanding.
Follow SOPs and work instructions to perform biochemical assays/operate medical devices and prototypes.
Improve assay performance and Independent planning of root cause investigation of analyte signal.
Drive or assist in product development and verification and validation activities; identify new uses and solutions and provide development recommendations.
Maintain up-to-date record keeping of documentation, equipment usage, R&D inventory.
Mandatory:
Sciences and/or pharma/biotech industry.","skills and the ability to document, interpret and present technical data"
Copywriter,Mentoria,Company Location not found,"Up to ₹32,000 a month",,"Job detailsHere’s how the job details align with your profile.PayUp to ₹32,000 a monthJob typeFull-timePermanentShift and scheduleDay shift&nbsp;LocationRemote&nbsp;BenefitsPulled from the full job descriptionWork from home&nbsp;Full job descriptionCompany Description
We at Mentoria are a unique and holistic career discovery platform, enabling students to discover themselves and the careers they will truly enjoy and excel at and handholding them till they start their first job. Our mission is driven by the need to address critical issues such as depression and suicide rates among students and the dissatisfaction with careers among the working population in India. We provide a scientific, accurate psychometric-based approach to help individuals make informed career decisions and lead happier lives.
Role Description
Overview: We are seeking a creative and strategic Copywriter/Email Marketer to join our dynamic marketing team. The ideal candidate will possess exceptional writing skills, a keen eye for detail, and a passion for crafting engaging content that resonates with our target audience. As a Copywriter/Email Marketer, you will play a pivotal role in developing compelling copy for email marketing campaigns, newsletters, and various digital marketing channels. This is an exciting opportunity to contribute to the growth and success of our brand through impactful storytelling and effective communication.
Key Responsibilities:","skills, a keen eye for detail, and a passion for crafting engaging content that resonates with our target audience. As a Copywriter/Email Marketer, you will play a pivotal role in developing compelling copy for email marketing campaigns, newsletters, and various digital marketing channels. This is an exciting opportunity to contribute to the growth and success of our brand through impactful storytelling and effective communication.
Key Responsibilities:"
Data Analyst,SalesPoint,Maharashtra,Salary not mentioned,,Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationMaharashtra&nbsp;Full job description,Skills information not found
Clinical Nutritionist,ZYLA Health,Company Location not found,"₹10,000 - ₹25,000 a month",,"Job detailsHere’s how the job details align with your profile.Pay₹10,000 - ₹25,000 a monthJob typeFull-timeInternshipPermanent&nbsp;LocationRemote&nbsp;BenefitsPulled from the full job descriptionFlexible schedule&nbsp;Full job descriptionAbout Zyla: https://zyla.in/
Zyla is the world’s most advanced chatbot helping lakhs of patients with personalized care to improve
their health and prevent hospitalizations. We have the finest talent across technology, data science,
medicine, and management, and a product with an NPS of +70!
Education & Requirements:
● B.Sc/M.Sc Nutrion & Dietetics.
Role & Responsibilities:
- Interacting with patients regularly via telephonic or video calls.
- Counseling chronic patients and motivating them to inculcate lifestyle changes.
- Developing a nutrition plan and modifying it based on adoption/feedback from the patient.
- Analyzing patient data and engaging in virtual patient management.
- Researching and creating protocols for drugs, diagnostics, patient symptoms, vital tracking, etc.
- Engaging with the product and technology teams for the development of algorithms.
- Developing systems and processes for standardizing the quality of care.
- Working in tandem with other 'care team' members such as doctors and physiotherapists to provide
holistic care to patients.
Offer:",Skills information not found
Data Engineer,Nine Dots Technologies,Company Location not found,"₹7,50,000 - ₹12,50,000 a year",3+ years,"Job detailsHere’s how the job details align with your profile.Pay₹7,50,000 - ₹12,50,000 a yearJob typeFull-timeShift and scheduleNight shiftUS shift&nbsp;LocationRemote&nbsp;BenefitsPulled from the full job descriptionWork from home&nbsp;Full job descriptionWe're seeking a talented and experienced Data Engineer to join our growing team. You'll play a vital role in designing, building, and maintaining our data infrastructure, ensuring that our organization can make data-driven decisions effectively. Your expertise in Python, Prefect, SQL, Airbyte, DBT, Dagster and AWS will be instrumental in streamlining our data operations and driving efficiency.
Responsibilities:
Design, develop, and maintain data pipelines and workflows using Python and Prefect.Extract, transform, and load data from various sources into our data warehouse using SQL and ETL tools like Airbyte.Must have exceptional SQL skills.Build and optimize data models using DBT for data analysis and reporting.Leverage AWS services (e.g: S3, Redshift) to build scalable and reliable data infrastructure.Collaborate with data analysts and scientists to understand their data needs and provide solutions.Implement data quality checks and monitoring mechanisms to ensure data integrity.Stay up-to-date with the latest trends and technologies in data engineering.
Qualifications:
Proven experience (3+ years) as a Data Engineer with a strong foundation in SQL and Python.Proficiency in using Prefect for orchestrating data workflows.Experience with ETL tools like Airbyte for data extraction, transformation, and loading.Familiarity with data modeling concepts (e.g., dimensional modeling).In-depth knowledge of AWS services relevant to data engineering (e.g., S3, Redshift).Strong problem-solving and analytical skills.Comfortable with different reverse-ETL methodologies and frameworks.Excellent communication and collaboration abilities.
Bonus Points:
Exposure to Hightouch is a big plus.Experience with data visualization tools (e.g., Metabase preferred).Knowledge of other cloud data warehouses (e.g., Snowflake, Databricks).
What We Offer:
Opportunity to work on challenging and impactful data projects.Collaborative and supportive work environment.Competitive salary and benefits package.Continuous learning and development opportunities.
Job Type: Full-time
Benefits:","skills.Build and optimize data models using DBT for data analysis and reporting.Leverage AWS services (e.g: S3, Redshift) to build scalable and reliable data infrastructure.Collaborate with data analysts and scientists to understand their data needs and provide solutions.Implement data quality checks and monitoring mechanisms to ensure data integrity.Stay up-to-date with the latest trends and technologies in data engineering.
Qualifications:
Proven experience (3+ years) as a Data Engineer with a strong foundation in SQL and Python.Proficiency in using Prefect for orchestrating data workflows.Experience with ETL tools like Airbyte for data extraction, transformation, and loading.Familiarity with data modeling concepts (e.g., dimensional modeling).In-depth knowledge of AWS services relevant to data engineering (e.g., S3, Redshift).Strong problem-solving and analytical skills.Comfortable with different reverse-ETL methodologies and frameworks.Excellent communication and collaboration abilities.
Bonus Points:
Exposure to Hightouch is a big plus.Experience with data visualization tools (e.g., Metabase preferred).Knowledge of other cloud data warehouses (e.g., Snowflake, Databricks).
What We Offer:
Opportunity to work on challenging and impactful data projects.Collaborative and supportive work environment.Competitive salary and benefits package.Continuous learning and development opportunities.
Job Type: Full-time
Benefits:"
Data Analyst,Magic Infomedia,Delhi,Salary not mentioned,,Job detailsHere’s how the job details align with your profile.Job typePermanentFull-time&nbsp;LocationDelhi&nbsp;Full job description,Skills information not found
UI/UX Designer,Heart It Out,Company Location not found,Salary not mentioned,5 years,Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationRemote&nbsp;BenefitsPulled from the full job descriptionFlexible schedule&nbsp;Full job description,Skills information not found
Data Analyst,Combined Logistics Solutions P.LTD.,"Delhi, Delhi","₹10,500 - ₹20,000 a month",1 years,"Job detailsHere’s how the job details align with your profile.Pay₹10,500 - ₹20,000 a monthJob typeFull-timeShift and scheduleDay shiftMonday to Friday&nbsp;LocationDelhi, Delhi&nbsp;Full job descriptionWe are seeking a Data Analyst to join our dynamic team. The ideal candidate will be responsible for interpreting data, analyzing results, and providing actionable insights to support our logistics operations. You will work closely with various departments to help improve efficiency, drive strategic decisions, and support data-driven initiatives.
Key Responsibilities:",Skills information not found
Global Research / Data Engineering & Analytics – Analyst,JPMorgan Chase & Co,"Santacruz East, Mumbai, Maharashtra",Salary not mentioned,200 years,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationSantacruz East, Mumbai, Maharashtra&nbsp;Full job description
JOB DESCRIPTION
 Global Research / Data Engineering & Analytics – Analyst 
We are looking for a dynamic, energetic individual with strong attention to detail and multi-tasking ability to assist with development of Research Data Platform. A successful candidate will be highly organized, proactive and flexible; possess keen attention to detail, have strong communication skills and an acute sense of urgency.
 Responsibilities","skills and an acute sense of urgency.
 Responsibilities"
Digital Marketing Intern,We Remote Devs,India,Salary not mentioned,,Job detailsHere’s how the job details align with your profile.Job typeInternship&nbsp;LocationIndia&nbsp;BenefitsPulled from the full job descriptionWork from home&nbsp;Full job description,Skills information not found
Digital Marketing Trainer ( Tamil),Asthra E-Learning,Company Location not found,Salary not mentioned,2 years,"Job detailsHere’s how the job details align with your profile.Job typePart-time&nbsp;LocationRemote&nbsp;Full job descriptionJob Title: Digital Marketing Trainer (Tamil Language Proficiency)
Location: Remote
Company: Asthra E-Learning
Job Type: Part-Time
Experience: Minimum 2 years in Digital Marketing
Job Summary:Asthra E-Learning is seeking a skilled and experienced Digital Marketing Trainer who is proficient in Tamil. The ideal candidate will have a strong background in digital marketing and be passionate about teaching and mentoring students. This role involves creating and delivering high-quality training sessions, providing guidance, and ensuring that students gain practical and theoretical knowledge in digital marketing.
Key Responsibilities:","skills.
Ability to inspire and motivate students to achieve their learning goals."
"Data Analyst, ReFarm",The/Nudge,"Bengaluru, Karnataka",Salary not mentioned,1-3 years,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationBengaluru, Karnataka&nbsp;Full job description","skills, with an innate ability to understand data and solve complex data challenges.
Proficiency in Excel skills; knowledge of SQL / data visualization platforms would be good to have
Prior experience in data analysis, secondary research and creating day-to-day data documentation and reporting processes.
Enjoy the challenges of working in a fast-paced, start-up environment.
Ability to work independently and as part of a team.
A strong focus on process adherence and data management.
Comfortable with some degree of ambiguity in the absence of perfect systems/processes."
Associate - Data Analyst (PBI),Ignitho,"Chennai, Tamil Nadu",Salary not mentioned,,"Job detailsHere’s how the job details align with your profile.Shift and scheduleUK shift&nbsp;LocationChennai, Tamil Nadu&nbsp;Full job description",Skills information not found
Lead UI/UX Designer - India,Founding Teams,Company Location not found,"₹63,43,673 a year",,"Job detailsHere’s how the job details align with your profile.Pay₹63,43,673 a yearJob typeFull-timePart-timeShift and scheduleMonday to Friday&nbsp;LocationRemote&nbsp;BenefitsPulled from the full job descriptionFlexible schedule&nbsp;Full job descriptionFoundingTeams.ai is a new AI Tech Incubator and talent platform. We are supporting the next generation of AI startup founders with the resources they need including engineering, product, sales, marketing, and operations staff to create and launch their products.
The ideal candidate will have a passion for next-generation AI tech startups and working with great global startup talent.
Job Title: - Lead UI/UX Designer
Company: Stealth AI Startup
Remote: 16-20 hours per week.
Flexible hours : Yes
Job Description:
As a UI (User Interface) Designer, your primary responsibility is to create visually appealing and intuitive interfaces for digital products such as websites, mobile apps, and software applications. You will work closely with cross-functional teams including UX designers, developers, and product managers to ensure the final product meets both user needs and business objectives.
Key Responsibilities:",skills and stay competitive in the field.
Digital Marketing Specialist,CountAI Private Limited,"Ramanathapuram, Coimbatore, Tamil Nadu","₹50,000 - ₹90,000 a month",,"Job detailsHere’s how the job details align with your profile.Pay₹50,000 - ₹90,000 a monthJob typeFull-timeShift and scheduleDay shift&nbsp;LocationRamanathapuram, Coimbatore, Tamil Nadu&nbsp;BenefitsPulled from the full job descriptionCell phone reimbursementFood providedHealth insuranceInternet reimbursementLeave encashmentPaid time offProvident FundShow morechevron down&nbsp;Full job descriptionDigital Marketing Strategy Development:Develop and implement comprehensive digital marketing strategies that align with the company's goals and objectives.Identify target audiences and tailor marketing campaigns to reach and engage them effectively.Content Creation and Management:Create, curate, and manage high-quality content for the company's website, blog, and social media platforms.Collaborate with content creators and designers to produce engaging multimedia content.Search Engine Optimization (SEO):Optimize website content to improve search engine rankings and drive organic traffic.Conduct keyword research and implement on-page and off-page SEO techniques.Social Media Marketing:Develop and execute social media strategies to increase brand awareness and engagement.Manage social media accounts, create posts, and interact with followers.Email Marketing:Design and implement email marketing campaigns to nurture leads and retain customers.Create engaging email content and manage email lists.
Job Type: Full-time
Benefits:",Skills information not found
Data Engineer,Google,"Bengaluru, Karnataka",Salary not mentioned,5 years,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationBengaluru, Karnataka&nbsp;Full job description
Minimum qualifications:","skills, with the ability to break down complex, multi-dimensional problems.
Excellent business and technical communication, organizational, and problem-solving skills."
Data Analyst,Pall,Maharashtra,Salary not mentioned,5+ years,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationMaharashtra&nbsp;Full job description
Pall Microelectronics is looking for a Data Analyst who will generate actionable insights by analyzing complex data, to support the Leadership in fact-based decision making.","skills with attention to detail
Ability to work independently and good written and verbal communication skills."
Data Analyst,IMS people possible,"Jaipur, Rajasthan","₹20,000 - ₹45,000 a month",,"Job detailsHere’s how the job details align with your profile.Pay₹20,000 - ₹45,000 a monthJob typeFull-timePermanentShift and scheduleNight shiftRotational shiftUK shift&nbsp;LocationJaipur, Rajasthan&nbsp;Full job descriptionWe are seeking a skilled Power BI Specialist to join our team. The ideal candidate will have a strong background in data analysis, visualization, and reporting, with a focus on leveraging Power BI to drive insights and create reports and dashboards.
Power BI Specialist will be responsible for developing and maintaining Power BI dashboards, reports and data models that provide actionable insights.
Develop and maintain Power BI dashboards and reports to meet business requirements
Collaborate with stakeholders to understand data needs and translate requirements into effective visualizations
Design and implement data models to support Power BI solutions, ensuring accuracy, efficiency, and scalability
Optimize Power BI performance by fine-tuning queries, data models, and report designs. Stay current with Power BI best practices, new features, and industry trends to continuously improve solutions
Troubleshoot issues and provide timely resolution to ensure uninterrupted access to Power BI reports and dashboards
Contribute to the development and implementation of data analytics strategies and roadmaps
Skills Required:
Graduate, experience in developing Power BI dashboards, reports, and data models, Solid understanding of data visualization principles and best practices, Excellent analytical and problem-solving skills with a keen attention to detail, Ability to communicate complex technical concepts to the stakeholders, Strong organizational and time-management skills with the ability to prioritize tasks effectively
Job Types: Full-time, Permanent
Schedule:","Skills Required:
Graduate, experience in developing Power BI dashboards, reports, and data models, Solid understanding of data visualization principles and best practices, Excellent analytical and problem-solving skills with a keen attention to detail, Ability to communicate complex technical concepts to the stakeholders, Strong organizational and time-management skills with the ability to prioritize tasks effectively
Job Types: Full-time, Permanent
Schedule:"
Data Analyst,Aeries Technology,"Bengaluru, Karnataka",Salary not mentioned,6 Years,Full job description,"skills, including the ability to write and optimize SQL queries, work with complex data structures, and extract meaningful insights from data.
 Analyze complex data sets, trace data through intricate logic, and apply critical thinking to understand and solve data-related issues.
 The role involves transforming and manipulating data efficiently. Candidates should be capable of taking raw data and using complex logic to transform it based on client requirements.
 Gather requirements from clients regarding data transformation and reporting needs. Effective communication skills are essential for understanding and meeting client expectations.
 Familiarity with ETL reporting tools, such as SSRS or Power BI, is beneficial but not mandatory. These tools can be used for creating data reports and visualizations.
 This role is data-centric and focuses on tasks related to data analysis, SQL, logical reasoning, and data transformation. Candidates with strong data-driven backgrounds and experience in handling complex data structures, SQL, and logical reasoning are well-suited for this role"
Data Research Analyst,Fluidonomics Solutions LLP,"Pune, Maharashtra","₹1,77,249.53 - ₹4,00,000.00 a year",1+ years,"Job detailsHere’s how the job details align with your profile.Pay₹1,77,249.53 - ₹4,00,000.00 a yearJob typeFull-timeShift and scheduleDay shiftMonday to Friday&nbsp;LocationPune, Maharashtra&nbsp;BenefitsPulled from the full job descriptionHealth insuranceProvident Fund&nbsp;Full job description· To work on Data Research projects assigned, in a given time line with accuracy and speed.
· Should have also Knowledge about B2B
· Prior experience on Primary Research, Secondary research : Zoom, LinkedIn, Bloomberg.
· Prior Experience on Primary and secondary research techniques.
· Should be able to meet the work deadlines.
· Proficient in MS Excel, Advanced Excel skills. Very basic SQL knowledge will be an added advantage
· Detail oriented with strong analytical & problem solving skills
· Good communication skills.
Experience required:
· 1+ years’ work experience with proven knowledge of working on Data Analysis/ Data Research projects.
Location
· Your home location should be Pune (Maharashtra, India) – City limits (Strictly)· Work from office (Viman Nagar, Pune) within 3-4 weeks after onboarding
Job Type: Full-time
Benefits:","skills. Very basic SQL knowledge will be an added advantage
· Detail oriented with strong analytical & problem solving skills
· Good communication skills.
Experience required:
· 1+ years’ work experience with proven knowledge of working on Data Analysis/ Data Research projects.
Location
· Your home location should be Pune (Maharashtra, India) – City limits (Strictly)· Work from office (Viman Nagar, Pune) within 3-4 weeks after onboarding
Job Type: Full-time
Benefits:"
Digital Marketing Executive Fresher-Chennai,Publicity Port,"Chennai, Tamil Nadu","₹1,50,000 - ₹2,10,000 a year",,"Job detailsHere’s how the job details align with your profile.Pay₹1,50,000 - ₹2,10,000 a yearJob typeFull-timeShift and scheduleDay shiftMonday to Friday&nbsp;LocationChennai, Tamil Nadu&nbsp;BenefitsPulled from the full job descriptionPaid time offProvident FundWork from home&nbsp;Full job descriptionWe are seeking candidates from Tamil Nadu for the position of Digital Marketing Fresher.",Skills information not found
Program Manager,Avanti Fellows,Company Location not found,"₹6,00,000 - ₹7,00,000 a year",2-3 years,"Job detailsHere’s how the job details align with your profile.Pay₹6,00,000 - ₹7,00,000 a yearJob typeFull-timeShift and scheduleDay shift&nbsp;LocationRemote&nbsp;BenefitsPulled from the full job descriptionCell phone reimbursementCommuter assistanceFlexible scheduleHealth insuranceLife insurancePaid sick timePaid time offShow morechevron down&nbsp;Full job descriptionPosition Summary:
The Program Manager will have the responsibility of implementing a scholarship program nationwide in India, as well as overseeing a team consisting of 2 to 3 individuals.
Key responsibilities:
The major responsibilities are subject to change based on dynamic work requirements.
Administration
● Ensure smooth implementation of various aspects of the program.
● Work proactively keeping in mind program expansion targets.
● Organize and manage student events, both online and offline, ensuring smooth execution and maximum student participation.
● Lead the scholarship interview process, including scheduling, communication, candidate
selection, and initiation of fund disbursement.
Team Management:
● Lead and manage the program team, providing guidance, support, and feedback to ensure the successful implementation of all program activities.
● Train the team on ideal stakeholder relationships, mentoring and adherence to processes for effective implementation of the program.
Coordination for Alumni Relations & Mentorship:
● Work with the Alumni Relations & Mentorship team for building the alumni database and create mentorship programs.
Program Implementation and M&E:
● Manage the outreach activities of the program, ensuring that all students are aware of available resources and opportunities.
● Coordinate with service providers to schedule meetings, events, and sessions, ensuring timely and effective delivery of program activities.
● Conduct surveys with students to gather feedback and assess their needs for placement
training, counseling sessions, career guidance, and other support services.
● Monitor and evaluate the overall effectiveness of the program, identifying areas for improvement and implementing necessary changes to achieve program goals.
● Coordinate with the Monitoring, Evaluation and Learning Division of the organization to collect data on students’ performance regularly, and use it effectively to improve performance of the program, as well as for program development.
Documentation and reporting:
● Track and manage the student database and alumni records, ensuring data integrity and
accessibility.
● Document and report the student journey, including progress, challenges, and achievements, to the management team on a regular basis.
● Ensure that all communications, including emails, meeting notes, and program updates, are accurately documented and stored for future reference.
● Capture success stories and learning from operations of the program
● Support preparation of periodic reports, analyzing the progress of the students, for sharing with stakeholders.
Stakeholder management:
● Manage and coordinate with various stakeholders, including students, parents, service
providers, and other external partners, to ensure effective collaboration and program success.
● Monitor and analyze the effectiveness of communication between the program coordinator and students, making necessary adjustments to improve engagement and outcomes.
● Hold regular discussion sessions with students and understand the effective implementation of the program.
● Facilitate donor and core team visit to the schools/Institutions.
● Manage the process of community engagement, mainly involving parents of students
Ideal Candidate Qualifications:
● Bachelor's/Master's degree with 2-3 years of experience. Graduates from science will be
preferred.
● Exceptional leadership and management skills; self-driven; good at interpersonal
communication; Data Analysis, Process driven, Objective, Empathizing.
● Strong interpersonal skills for effective communication with stakeholders including students, institutions, partner organizations, and corporates.
● Self-motivated individual capable of working independently, with excellent verbal and written communication skills.
● Proficient in MS Office and presentation tools.
Benefits:
● Access to a supportive team/leadership.
● Flexible remote working environment with autonomy over schedules.
● Competitive leave policies.
● Safe and inclusive work environment prioritizing employee well-being.
Job Type: Full-time
Benefits:","skills; self-driven; good at interpersonal
communication; Data Analysis, Process driven, Objective, Empathizing.
● Strong interpersonal skills for effective communication with stakeholders including students, institutions, partner organizations, and corporates.
● Self-motivated individual capable of working independently, with excellent verbal and written communication skills.
● Proficient in MS Office and presentation tools.
Benefits:
● Access to a supportive team/leadership.
● Flexible remote working environment with autonomy over schedules.
● Competitive leave policies.
● Safe and inclusive work environment prioritizing employee well-being.
Job Type: Full-time
Benefits:"
Digital Marketing Executive Fresher-Chennai,Publicity Port,"Chennai, Tamil Nadu","₹1,50,000 - ₹2,10,000 a year",,"Job detailsHere’s how the job details align with your profile.Pay₹1,50,000 - ₹2,10,000 a yearJob typeFull-timeShift and scheduleDay shiftMonday to Friday&nbsp;LocationChennai, Tamil Nadu&nbsp;BenefitsPulled from the full job descriptionPaid time offProvident FundWork from home&nbsp;Full job descriptionWe are seeking candidates from Tamil Nadu for the position of Digital Marketing Fresher.",Skills information not found
Data Analyst,CAP-INDEX ENTERPRISES LLP,"Calicut, Kerala","₹20,000 - ₹25,000 a month",2+ years,"Job detailsHere’s how the job details align with your profile.Pay₹20,000 - ₹25,000 a monthJob typeFull-timeShift and scheduleFixed shift&nbsp;LocationCalicut, Kerala&nbsp;BenefitsPulled from the full job descriptionFlexible scheduleHealth insurance&nbsp;Full job descriptionJob Description:
Cap-Index Enterprises LLP is seeking a talented and detail-oriented Data Analyst to join our dynamic team. The successful candidate will play a crucial role in analyzing data, generating insights, and providing actionable recommendations to support business decisions.
Key Responsibilities:",Skills:
Data Scientist,Drimlite,"Bengaluru, Karnataka","₹12,00,000 - ₹14,00,000 a year",4-6 years,"Job detailsHere’s how the job details align with your profile.Pay₹12,00,000 - ₹14,00,000 a yearJob typeFull-timeShift and scheduleDay shift&nbsp;LocationBengaluru, Karnataka&nbsp;Full job descriptionJob Title: Data Scientist
Location: BengaluruWork Mode: HybridBudget: ₹1.3 LPM
Job Description:
Role Overview:
Affine is seeking two experienced Data Scientists to join our dynamic team. The ideal candidates will possess a robust background in data analysis, statistical modeling, and data visualization. You will leverage your skills in SQL and forecasting techniques to develop predictive models and deliver actionable insights that drive strategic business decisions. This role involves close collaboration with cross-functional teams and stakeholders to analyze complex datasets and enhance data-driven strategies.
Key Responsibilities:","skills in SQL and forecasting techniques to develop predictive models and deliver actionable insights that drive strategic business decisions. This role involves close collaboration with cross-functional teams and stakeholders to analyze complex datasets and enhance data-driven strategies.
Key Responsibilities:"
Program Manager,Avanti Fellows,Company Location not found,"₹6,00,000 - ₹7,00,000 a year",2-3 years,"Job detailsHere’s how the job details align with your profile.Pay₹6,00,000 - ₹7,00,000 a yearJob typeFull-timeShift and scheduleDay shift&nbsp;LocationRemote&nbsp;BenefitsPulled from the full job descriptionCell phone reimbursementCommuter assistanceFlexible scheduleHealth insuranceLife insurancePaid sick timePaid time offShow morechevron down&nbsp;Full job descriptionPosition Summary:
The Program Manager will have the responsibility of implementing a scholarship program nationwide in India, as well as overseeing a team consisting of 2 to 3 individuals.
Key responsibilities:
The major responsibilities are subject to change based on dynamic work requirements.
Administration
● Ensure smooth implementation of various aspects of the program.
● Work proactively keeping in mind program expansion targets.
● Organize and manage student events, both online and offline, ensuring smooth execution and maximum student participation.
● Lead the scholarship interview process, including scheduling, communication, candidate
selection, and initiation of fund disbursement.
Team Management:
● Lead and manage the program team, providing guidance, support, and feedback to ensure the successful implementation of all program activities.
● Train the team on ideal stakeholder relationships, mentoring and adherence to processes for effective implementation of the program.
Coordination for Alumni Relations & Mentorship:
● Work with the Alumni Relations & Mentorship team for building the alumni database and create mentorship programs.
Program Implementation and M&E:
● Manage the outreach activities of the program, ensuring that all students are aware of available resources and opportunities.
● Coordinate with service providers to schedule meetings, events, and sessions, ensuring timely and effective delivery of program activities.
● Conduct surveys with students to gather feedback and assess their needs for placement
training, counseling sessions, career guidance, and other support services.
● Monitor and evaluate the overall effectiveness of the program, identifying areas for improvement and implementing necessary changes to achieve program goals.
● Coordinate with the Monitoring, Evaluation and Learning Division of the organization to collect data on students’ performance regularly, and use it effectively to improve performance of the program, as well as for program development.
Documentation and reporting:
● Track and manage the student database and alumni records, ensuring data integrity and
accessibility.
● Document and report the student journey, including progress, challenges, and achievements, to the management team on a regular basis.
● Ensure that all communications, including emails, meeting notes, and program updates, are accurately documented and stored for future reference.
● Capture success stories and learning from operations of the program
● Support preparation of periodic reports, analyzing the progress of the students, for sharing with stakeholders.
Stakeholder management:
● Manage and coordinate with various stakeholders, including students, parents, service
providers, and other external partners, to ensure effective collaboration and program success.
● Monitor and analyze the effectiveness of communication between the program coordinator and students, making necessary adjustments to improve engagement and outcomes.
● Hold regular discussion sessions with students and understand the effective implementation of the program.
● Facilitate donor and core team visit to the schools/Institutions.
● Manage the process of community engagement, mainly involving parents of students
Ideal Candidate Qualifications:
● Bachelor's/Master's degree with 2-3 years of experience. Graduates from science will be
preferred.
● Exceptional leadership and management skills; self-driven; good at interpersonal
communication; Data Analysis, Process driven, Objective, Empathizing.
● Strong interpersonal skills for effective communication with stakeholders including students, institutions, partner organizations, and corporates.
● Self-motivated individual capable of working independently, with excellent verbal and written communication skills.
● Proficient in MS Office and presentation tools.
Benefits:
● Access to a supportive team/leadership.
● Flexible remote working environment with autonomy over schedules.
● Competitive leave policies.
● Safe and inclusive work environment prioritizing employee well-being.
Job Type: Full-time
Benefits:","skills; self-driven; good at interpersonal
communication; Data Analysis, Process driven, Objective, Empathizing.
● Strong interpersonal skills for effective communication with stakeholders including students, institutions, partner organizations, and corporates.
● Self-motivated individual capable of working independently, with excellent verbal and written communication skills.
● Proficient in MS Office and presentation tools.
Benefits:
● Access to a supportive team/leadership.
● Flexible remote working environment with autonomy over schedules.
● Competitive leave policies.
● Safe and inclusive work environment prioritizing employee well-being.
Job Type: Full-time
Benefits:"
Data Analyst,Infosys,"Bengaluru, Karnataka",Salary not mentioned,5+ years,"Full job description• Collect, clean, and organize large datasets from various sources • Perform data analysis using statistical methods, machine learning techniques, and data visualization tools • Identify patterns, trends, and anomalies within datasets to uncover insights • Develop and maintain data models to represent the organization's business operations • Create interactive dashboards and reports to communicate data findings to stakeholders • Document data analysis procedures and findings to ensure knowledge transfer • 5+ years of experience as a Data Analyst or similar role. • Proven track record of collecting, cleaning, analyzing, and interpreting large datasets • Expertise in Pipeline designing and Validation • Expertise in statistical methods, machine learning techniques, and data mining techniques • Proficiency in SQL, Python, PySpark, Looker, Prometheus, Carbon, Clickhouse, Kafka, HDFS and ELK stack (Elasticsearch, Logstash, and Kibana) • Experience with data visualization tools such as Grafana and Looker • Ability to work independently and as part of a team • Problem-solving and analytical skills to extract meaningful insights from data • Strong business acumen to understand the implications of data findings • High analytical skills • A high degree of initiative and flexibility • High customer orientation • High quality awareness • Excellent verbal and written communication skills • Logical thinking and problem solving skills along with an ability to collaborate • Two or three industry domain knowledge • Understanding of the financial processes for various types of projects and the various pricing models available • Client Interfacing skills • Knowledge of SDLC and agile methodologies • Project and Team management Technology->Analytics - Packages->Python - Big Data,Technology->Reporting, Analytics & Visualization->Reporting, Analytics & Visualization - ALL,Technology->Cloud Platform->Google Big Data,Technology->Cloud Platform->GCP Data Analytics&nbsp;You must create an Indeed account before continuing to the company website to applyApply nowsave-iconReport job&nbsp;Data Analyst jobs in Bengaluru, KarnatakaJobs at Infosys in Bengaluru, KarnatakaData Analyst salaries in Bengaluru, Karnataka","skills to extract meaningful insights from data • Strong business acumen to understand the implications of data findings • High analytical skills • A high degree of initiative and flexibility • High customer orientation • High quality awareness • Excellent verbal and written communication skills • Logical thinking and problem solving skills along with an ability to collaborate • Two or three industry domain knowledge • Understanding of the financial processes for various types of projects and the various pricing models available • Client Interfacing skills • Knowledge of SDLC and agile methodologies • Project and Team management Technology->Analytics - Packages->Python - Big Data,Technology->Reporting, Analytics & Visualization->Reporting, Analytics & Visualization - ALL,Technology->Cloud Platform->Google Big Data,Technology->Cloud Platform->GCP Data Analytics&nbsp;You must create an Indeed account before continuing to the company website to applyApply nowsave-iconReport job&nbsp;Data Analyst jobs in Bengaluru, KarnatakaJobs at Infosys in Bengaluru, KarnatakaData Analyst salaries in Bengaluru, Karnataka"
